Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:INDIAMARTbar_count,NSE:INDIAMART_order,NSE:INDIAMART_position,NSE:INDIAMART_ret,NSE:INDIAMART_Close,position_change
2024-03-06 09:15:00+05:30,NSE:INDIAMART,2634.9,2635.65,2609.05,2621.55,8980,True,,,,2634.9,,,,,2622.0833333333335,,,,,,,,2609.05,2635.65,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,2621.55,
2024-03-06 09:45:00+05:30,NSE:INDIAMART,2621.55,2621.55,2584.85,2598.5,14512,True,,,,2634.9,,,,,2609.4505051365004,,,,,,,,2584.85,2635.65,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2598.5,0.0
2024-03-06 10:15:00+05:30,NSE:INDIAMART,2598.5,2611.8,2594.75,2603.15,9438,True,,,,2634.9,,,,,2607.6686142322096,,,,,,,,2584.85,2635.65,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2603.15,0.0
2024-03-06 10:45:00+05:30,NSE:INDIAMART,2603.15,2609.1,2580.0,2582.7,7929,True,,,,2634.9,,,,,2604.3563197010862,,,,,,,,2580.0,2635.65,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2582.7,0.0
2024-03-06 11:15:00+05:30,NSE:INDIAMART,2582.7,2590.75,2571.0,2575.55,8804,True,,,,2634.9,,,,,2599.8790098597883,,,,,,,,2571.0,2635.65,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,2575.55,0.0
2024-03-06 11:45:00+05:30,NSE:INDIAMART,2575.55,2585.2,2570.35,2579.55,11184,True,,,,2634.9,,,,,2595.9249275505226,,,,,,,,2570.35,2635.65,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2579.55,0.0
2024-03-06 12:15:00+05:30,NSE:INDIAMART,2579.55,2588.95,2571.0,2583.7,4699,True,,,,2634.9,,,,,2594.870490698644,,,,,,,,2570.35,2635.65,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2583.7,0.0
2024-03-06 12:45:00+05:30,NSE:INDIAMART,2583.7,2590.0,2580.9,2586.0,3033,True,,,,2634.9,,,,,2594.461964789999,,,,,,,,2570.35,2635.65,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2586.0,0.0
2024-03-06 13:15:00+05:30,NSE:INDIAMART,2586.0,2595.0,2572.0,2580.0,6250,True,,,,2634.9,,,,,2593.4489357958364,,,,,,,,2570.35,2635.65,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2580.0,0.0
2024-03-06 13:45:00+05:30,NSE:INDIAMART,2579.85,2592.55,2579.4,2584.7,5265,True,,,,2634.9,,,,,2592.929697189136,,,,,,,,2570.35,2635.65,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2584.7,0.0
