Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:AMBUJACEMbar_count,NSE:AMBUJACEM_order,NSE:AMBUJACEM_position,NSE:AMBUJACEM_ret,NSE:AMBUJACEM_Close,position_change
2024-03-06 09:15:00+05:30,NSE:AMBUJACEM,612.0,613.65,607.5,611.2,269108,True,,,,612.0,,,,,610.7833333333334,,,,,,,,607.5,613.65,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,611.2,
2024-03-06 09:45:00+05:30,NSE:AMBUJACEM,611.2,611.75,597.3,602.95,334458,True,,,,612.0,,,,,607.0244401882588,,,,,,,,597.3,613.65,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,602.95,0.0
2024-03-06 10:15:00+05:30,NSE:AMBUJACEM,602.95,607.5,601.9,607.4,123543,True,,,,612.0,,,,,606.7824137325582,,,,,,,,597.3,613.65,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,607.4,0.0
2024-03-06 10:45:00+05:30,NSE:AMBUJACEM,607.4,608.1,601.3,603.9,485967,True,,,,612.0,,,,,605.841355172031,,,,,,,,597.3,613.65,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,603.9,0.0
2024-03-06 11:15:00+05:30,NSE:AMBUJACEM,603.9,605.35,600.4,600.85,456900,True,,,,612.0,,,,,604.8450922448386,,,,,,,,597.3,613.65,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,600.85,0.0
2024-03-06 11:45:00+05:30,NSE:AMBUJACEM,600.85,602.85,596.35,600.5,216259,True,,,,612.0,,,,,604.2781317633628,,,,,,,,596.35,613.65,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,600.5,0.0
2024-03-06 12:15:00+05:30,NSE:AMBUJACEM,600.5,600.8,596.0,598.85,171931,True,,,,612.0,,,,,603.7996264230712,,,,,,,,596.0,613.65,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,598.85,0.0
2024-03-06 12:45:00+05:30,NSE:AMBUJACEM,598.85,601.8,598.0,599.6,143312,True,,,,612.0,,,,,603.5392584057922,,,,,,,,596.0,613.65,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,599.6,0.0
2024-03-06 13:15:00+05:30,NSE:AMBUJACEM,599.6,600.0,596.5,596.85,248264,True,,,,612.0,,,,,602.9559361693326,,,,,,,,596.0,613.65,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,596.85,0.0
2024-03-06 13:45:00+05:30,NSE:AMBUJACEM,596.85,600.25,596.65,598.8,306425,True,,,,612.0,,,,,602.46794617912,,,,,,,,596.0,613.65,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,598.8,0.0
