Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:ICICIPRULIbar_count,NSE:ICICIPRULI_order,NSE:ICICIPRULI_position,NSE:ICICIPRULI_ret,NSE:ICICIPRULI_Close,position_change
2024-03-06 09:15:00+05:30,NSE:ICICIPRULI,555.0,560.2,554.15,559.15,370424,True,,,,555.0,,,,,557.8333333333334,,,,,,,,554.15,560.2,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,559.15,
2024-03-06 09:45:00+05:30,NSE:ICICIPRULI,559.15,559.8,549.35,554.95,343655,True,,,,555.0,,,,,556.3253970032262,,,,,,,,549.35,560.2,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,554.95,0.0
2024-03-06 10:15:00+05:30,NSE:ICICIPRULI,554.95,560.6,552.95,559.05,397688,True,,,,555.0,,,,,556.757485546282,,,,,,,,549.35,560.6,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,559.05,0.0
2024-03-06 10:45:00+05:30,NSE:ICICIPRULI,559.05,560.0,554.5,557.0,339133,True,,,,555.0,,,,,556.853127438142,,,,,,,,549.35,560.6,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,557.0,0.0
2024-03-06 11:15:00+05:30,NSE:ICICIPRULI,557.0,557.4,554.8,555.7,245605,True,,,,555.0,,,,,556.7247934822867,,,,,,,,549.35,560.6,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,555.7,0.0
2024-03-06 11:45:00+05:30,NSE:ICICIPRULI,555.7,557.25,555.05,557.25,365682,True,,,,555.0,,,,,556.6878869213446,,,,,,,,549.35,560.6,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,557.25,0.0
2024-03-06 12:15:00+05:30,NSE:ICICIPRULI,557.25,558.0,555.05,556.05,392409,True,,,,555.0,,,,,556.6365343896375,,,,,,,,549.35,560.6,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,556.05,0.0
2024-03-06 12:45:00+05:30,NSE:ICICIPRULI,556.05,562.9,555.55,562.1,329891,True,,,,555.0,,,,,557.056739996751,,,,,,,,549.35,562.9,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,562.1,0.0
2024-03-06 13:15:00+05:30,NSE:ICICIPRULI,562.55,565.5,561.7,565.1,568357,True,,,,555.0,,,,,558.2506774795766,,,,,,,,549.35,565.5,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,565.1,0.0
2024-03-06 13:45:00+05:30,NSE:ICICIPRULI,565.1,571.55,565.0,570.0,713625,True,,,,555.0,,,,,560.1107535144946,,,,,,,,549.35,571.55,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,570.0,0.0
