Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:CHOLAFINbar_count,NSE:CHOLAFIN_order,NSE:CHOLAFIN_position,NSE:CHOLAFIN_ret,NSE:CHOLAFIN_Close,position_change
2024-03-06 09:15:00+05:30,NSE:CHOLAFIN,1041.0,1056.3,1033.65,1037.4,207504,True,,,,1041.0,,,,,1042.45,,,,,,,,1033.65,1056.3,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,1037.4,
2024-03-06 09:45:00+05:30,NSE:CHOLAFIN,1037.95,1039.75,1025.2,1027.75,98340,True,,,,1041.0,,,,,1038.736253776435,,,,,,,,1025.2,1056.3,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1027.75,0.0
2024-03-06 10:15:00+05:30,NSE:CHOLAFIN,1027.75,1034.1,1023.55,1027.25,459303,True,,,,1041.0,,,,,1032.4715717371957,,,,,,,,1023.55,1056.3,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1027.25,0.0
2024-03-06 10:45:00+05:30,NSE:CHOLAFIN,1027.15,1029.3,1021.85,1023.1,83659,True,,,,1041.0,,,,,1031.7105274350088,,,,,,,,1021.85,1056.3,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1023.1,0.0
2024-03-06 11:15:00+05:30,NSE:CHOLAFIN,1023.8,1024.9,1019.7,1021.35,92852,True,,,,1041.0,,,,,1030.7513793932262,,,,,,,,1019.7,1056.3,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,1021.35,0.0
2024-03-06 11:45:00+05:30,NSE:CHOLAFIN,1021.4,1022.25,1017.05,1017.55,169983,True,,,,1041.0,,,,,1028.9468095065463,,,,,,,,1017.05,1056.3,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1017.55,0.0
2024-03-06 12:15:00+05:30,NSE:CHOLAFIN,1017.5,1018.7,1015.05,1015.95,182438,True,,,,1041.0,,,,,1027.201468998415,,,,,,,,1015.05,1056.3,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1015.95,0.0
2024-03-06 12:45:00+05:30,NSE:CHOLAFIN,1015.8,1019.0,1013.05,1017.65,186768,True,,,,1041.0,,,,,1025.860182044465,,,,,,,,1013.05,1056.3,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1017.65,0.0
2024-03-06 13:15:00+05:30,NSE:CHOLAFIN,1018.5,1019.85,1011.2,1015.2,129104,True,,,,1041.0,,,,,1025.0227033824838,,,,,,,,1011.2,1056.3,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1015.2,0.0
2024-03-06 13:45:00+05:30,NSE:CHOLAFIN,1015.25,1020.05,1013.0,1019.4,157004,True,,,,1041.0,,,,,1024.3527874790245,,,,,,,,1011.2,1056.3,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1019.4,0.0
