Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:TORNTPHARMbar_count,NSE:TORNTPHARM_order,NSE:TORNTPHARM_position,NSE:TORNTPHARM_ret,NSE:TORNTPHARM_Close,position_change
2024-03-06 09:15:00+05:30,NSE:TORNTPHARM,2684.0,2742.6,2659.75,2688.5,176644,True,,,,2684.0,,,,,2696.9500000000003,,,,,,,,2659.75,2742.6,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,2688.5,
2024-03-06 09:45:00+05:30,NSE:TORNTPHARM,2688.5,2694.65,2668.6,2677.35,48250,True,,,,2684.0,,,,,2693.3563625530255,,,,,,,,2659.75,2742.6,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2677.35,0.0
2024-03-06 10:15:00+05:30,NSE:TORNTPHARM,2677.35,2679.05,2656.25,2671.0,29675,True,,,,2684.0,,,,,2690.48995216752,,,,,,,,2656.25,2742.6,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2671.0,0.0
2024-03-06 10:45:00+05:30,NSE:TORNTPHARM,2671.0,2674.95,2647.05,2664.7,32636,True,,,,2684.0,,,,,2687.2790644313295,,,,,,,,2647.05,2742.6,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,2664.7,0.0
2024-03-06 11:15:00+05:30,NSE:TORNTPHARM,2664.7,2666.3,2653.3,2660.0,13220,True,,,,2684.0,,,,,2686.0728003106715,,,,,,,,2647.05,2742.6,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,2660.0,0.0
2024-03-06 11:45:00+05:30,NSE:TORNTPHARM,2660.0,2668.6,2642.4,2652.55,28273,True,,,,2684.0,,,,,2683.35849548826,,,,,,,,2642.4,2742.6,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2652.55,0.0
2024-03-06 12:15:00+05:30,NSE:TORNTPHARM,2653.3,2658.0,2648.25,2657.0,15514,True,,,,2684.0,,,,,2682.0540565601045,,,,,,,,2642.4,2742.6,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2657.0,0.0
2024-03-06 12:45:00+05:30,NSE:TORNTPHARM,2656.9,2664.9,2656.4,2664.45,22148,True,,,,2684.0,,,,,2680.836666803145,,,,,,,,2642.4,2742.6,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2664.45,0.0
2024-03-06 13:15:00+05:30,NSE:TORNTPHARM,2664.45,2686.0,2664.15,2685.55,24119,True,,,,2684.0,,,,,2680.6964540560016,,,,,,,,2642.4,2742.6,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2685.55,0.0
2024-03-06 13:45:00+05:30,NSE:TORNTPHARM,2686.0,2691.9,2676.25,2683.9,38513,True,,,,2684.0,,,,,2680.994528025387,,,,,,,,2642.4,2742.6,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,2683.9,0.0
