Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:MRFbar_count,NSE:MRF_order,NSE:MRF_position,NSE:MRF_ret,NSE:MRF_Close,position_change
2024-03-06 09:15:00+05:30,NSE:MRF,145580.0,145850.0,144800.0,145600.0,790,True,,,,145580.0,,,,,145416.66666666666,,,,,,,,144800.0,145850.0,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,145600.0,
2024-03-06 09:45:00+05:30,NSE:MRF,145688.5,145688.5,144300.0,144999.0,771,True,,,,145580.0,,,,,145208.811125347,,,,,,,,144300.0,145850.0,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,144999.0,0.0
2024-03-06 10:15:00+05:30,NSE:MRF,144999.0,145000.0,144500.0,144828.55,209,True,,,,145580.0,,,,,145157.726826742,,,,,,,,144300.0,145850.0,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,144828.55,0.0
2024-03-06 10:45:00+05:30,NSE:MRF,144828.55,144840.95,144448.05,144664.95,172,True,,,,145580.0,,,,,145112.87484552007,,,,,,,,144300.0,145850.0,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,144664.95,0.0
2024-03-06 11:15:00+05:30,NSE:MRF,144664.95,144671.85,144200.0,144484.9,271,True,,,,145580.0,,,,,145031.97591504743,,,,,,,,144200.0,145850.0,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,144484.9,0.0
2024-03-06 11:45:00+05:30,NSE:MRF,144484.9,144499.95,144100.5,144343.45,287,True,,,,145580.0,,,,,144949.6249866667,,,,,,,,144100.5,145850.0,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,144343.45,0.0
2024-03-06 12:15:00+05:30,NSE:MRF,144343.45,144482.0,144100.0,144100.0,168,True,,,,145580.0,,,,,144904.14335332334,,,,,,,,144100.0,145850.0,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,144100.0,0.0
2024-03-06 12:45:00+05:30,NSE:MRF,144100.0,144348.5,144000.0,144348.5,170,True,,,,145580.0,,,,,144863.90103359174,,,,,,,,144000.0,145850.0,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,144348.5,0.0
2024-03-06 13:15:00+05:30,NSE:MRF,144348.5,144591.95,144120.55,144500.0,138,True,,,,145580.0,,,,,144842.58270609318,,,,,,,,144000.0,145850.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,144500.0,0.0
2024-03-06 13:45:00+05:30,NSE:MRF,144500.0,144979.9,144475.0,144899.95,241,True,,,,145580.0,,,,,144838.26517977414,,,,,,,,144000.0,145850.0,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,144899.95,0.0
