Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:HEROMOTOCObar_count,NSE:HEROMOTOCO_order,NSE:HEROMOTOCO_position,NSE:HEROMOTOCO_ret,NSE:HEROMOTOCO_Close,position_change
2024-03-06 09:15:00+05:30,NSE:HEROMOTOCO,4580.0,4610.0,4553.4,4597.5,44323,True,,,,4580.0,,,,,4586.966666666666,,,,,,,,4553.4,4610.0,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,4597.5,
2024-03-06 09:45:00+05:30,NSE:HEROMOTOCO,4597.5,4600.8,4536.1,4562.15,32631,True,,,,4580.0,,,,,4578.224529155947,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,4562.15,0.0
2024-03-06 10:15:00+05:30,NSE:HEROMOTOCO,4562.15,4596.85,4556.7,4596.1,16915,True,,,,4580.0,,,,,4579.124102028714,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,4596.1,0.0
2024-03-06 10:45:00+05:30,NSE:HEROMOTOCO,4595.0,4600.0,4560.2,4562.1,29459,True,,,,4580.0,,,,,4577.924009416623,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,4562.1,0.0
2024-03-06 11:15:00+05:30,NSE:HEROMOTOCO,4562.1,4575.0,4558.05,4565.5,11854,True,,,,4580.0,,,,,4576.894479048,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,4565.5,0.0
2024-03-06 11:45:00+05:30,NSE:HEROMOTOCO,4565.5,4574.55,4548.5,4563.4,14807,True,,,,4580.0,,,,,4575.438895630124,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,4563.4,0.0
2024-03-06 12:15:00+05:30,NSE:HEROMOTOCO,4565.1,4584.05,4555.85,4577.0,18544,True,,,,4580.0,,,,,4575.0935170955645,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,4577.0,0.0
2024-03-06 12:45:00+05:30,NSE:HEROMOTOCO,4576.65,4583.15,4570.2,4582.45,12395,True,,,,4580.0,,,,,4575.333738927456,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,4582.45,0.0
2024-03-06 13:15:00+05:30,NSE:HEROMOTOCO,4582.45,4595.0,4574.25,4592.95,12019,True,,,,4580.0,,,,,4576.0853670524375,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,4592.95,0.0
2024-03-06 13:45:00+05:30,NSE:HEROMOTOCO,4592.95,4609.2,4591.9,4604.65,29334,True,,,,4580.0,,,,,4579.49427443941,,,,,,,,4536.1,4610.0,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,4604.65,0.0
