Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:PIINDbar_count,NSE:PIIND_order,NSE:PIIND_position,NSE:PIIND_ret,NSE:PIIND_Close,position_change
2024-03-06 09:15:00+05:30,NSE:PIIND,3622.75,3643.8,3603.25,3620.0,13323,True,,,,3622.75,,,,,3622.35,,,,,,,,3603.25,3643.8,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,3620.0,
2024-03-06 09:45:00+05:30,NSE:PIIND,3620.0,3623.4,3580.45,3618.55,24002,True,,,,3622.75,,,,,3612.779209198482,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3618.55,0.0
2024-03-06 10:15:00+05:30,NSE:PIIND,3618.55,3628.5,3609.8,3626.15,17033,True,,,,3622.75,,,,,3615.5066337981534,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3626.15,0.0
2024-03-06 10:45:00+05:30,NSE:PIIND,3626.15,3628.95,3605.55,3619.45,29681,True,,,,3622.75,,,,,3616.3813576633074,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3619.45,0.0
2024-03-06 11:15:00+05:30,NSE:PIIND,3619.45,3620.0,3601.1,3610.95,28235,True,,,,3622.75,,,,,3614.9484015295916,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,3610.95,0.0
2024-03-06 11:45:00+05:30,NSE:PIIND,3610.95,3622.0,3603.0,3619.0,11708,True,,,,3622.75,,,,,3614.9217964435697,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3619.0,0.0
2024-03-06 12:15:00+05:30,NSE:PIIND,3619.0,3626.0,3605.55,3623.5,8018,True,,,,3622.75,,,,,3615.130033838384,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3623.5,0.0
2024-03-06 12:45:00+05:30,NSE:PIIND,3623.5,3631.9,3620.0,3631.9,5698,True,,,,3622.75,,,,,3615.659839649087,,,,,,,,3580.45,3643.8,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3631.9,0.0
2024-03-06 13:15:00+05:30,NSE:PIIND,3631.3,3649.0,3628.15,3644.05,16926,True,,,,3622.75,,,,,3618.3680347164736,,,,,,,,3580.45,3649.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3644.05,0.0
2024-03-06 13:45:00+05:30,NSE:PIIND,3644.05,3657.75,3643.25,3655.25,16206,True,,,,3622.75,,,,,3621.5664783703096,,,,,,,,3580.45,3657.75,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3655.25,0.0
