Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:ADANIPORTSbar_count,NSE:ADANIPORTS_order,NSE:ADANIPORTS_position,NSE:ADANIPORTS_ret,NSE:ADANIPORTS_Close,position_change
2024-03-06 09:15:00+05:30,NSE:ADANIPORTS,1342.7,1344.6,1321.6,1327.9,731155,True,,,,1342.7,,,,,1331.3666666666666,,,,,,,,1321.6,1344.6,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,1327.9,
2024-03-06 09:45:00+05:30,NSE:ADANIPORTS,1327.35,1328.2,1310.25,1318.45,386476,True,,,,1342.7,,,,,1327.0787555403647,,,,,,,,1310.25,1344.6,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1318.45,0.0
2024-03-06 10:15:00+05:30,NSE:ADANIPORTS,1318.45,1326.3,1315.75,1324.5,163339,True,,,,1342.7,,,,,1326.4545306421435,,,,,,,,1310.25,1344.6,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1324.5,0.0
2024-03-06 10:45:00+05:30,NSE:ADANIPORTS,1324.5,1328.0,1317.15,1320.65,136703,True,,,,1342.7,,,,,1326.0185618145604,,,,,,,,1310.25,1344.6,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1320.65,0.0
2024-03-06 11:15:00+05:30,NSE:ADANIPORTS,1320.65,1322.5,1309.2,1311.2,162458,True,,,,1342.7,,,,,1324.81374138178,,,,,,,,1309.2,1344.6,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,1311.2,0.0
2024-03-06 11:45:00+05:30,NSE:ADANIPORTS,1311.65,1318.4,1311.0,1313.7,109475,True,,,,1342.7,,,,,1324.1368418534655,,,,,,,,1309.2,1344.6,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1313.7,0.0
2024-03-06 12:15:00+05:30,NSE:ADANIPORTS,1313.7,1313.95,1304.0,1310.05,101704,True,,,,1342.7,,,,,1323.2963530321385,,,,,,,,1304.0,1344.6,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1310.05,0.0
2024-03-06 12:45:00+05:30,NSE:ADANIPORTS,1310.3,1314.65,1307.55,1313.7,62482,True,,,,1342.7,,,,,1322.9144863159763,,,,,,,,1304.0,1344.6,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1313.7,0.0
2024-03-06 13:15:00+05:30,NSE:ADANIPORTS,1313.55,1314.0,1309.45,1309.85,145028,True,,,,1342.7,,,,,1322.057264894621,,,,,,,,1304.0,1344.6,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1309.85,0.0
2024-03-06 13:45:00+05:30,NSE:ADANIPORTS,1309.55,1317.1,1309.45,1314.85,170202,True,,,,1342.7,,,,,1321.409321720419,,,,,,,,1304.0,1344.6,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1314.85,0.0
