Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:LTbar_count,NSE:LT_order,NSE:LT_position,NSE:LT_ret,NSE:LT_Close,position_change
2024-03-06 09:15:00+05:30,NSE:LT,3618.0,3634.1,3598.1,3611.25,149025,True,,,,3618.0,,,,,3614.483333333333,,,,,,,,3598.1,3634.1,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,3611.25,
2024-03-06 09:45:00+05:30,NSE:LT,3610.75,3611.25,3586.05,3607.8,227813,True,,,,3618.0,,,,,3606.7553188638085,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3607.8,0.0
2024-03-06 10:15:00+05:30,NSE:LT,3608.45,3617.7,3595.55,3606.35,108237,True,,,,3618.0,,,,,3606.705786218626,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3606.35,0.0
2024-03-06 10:45:00+05:30,NSE:LT,3606.35,3626.15,3606.0,3609.6,90685,True,,,,3618.0,,,,,3607.8415349566944,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,3609.6,0.0
2024-03-06 11:15:00+05:30,NSE:LT,3609.6,3619.9,3598.0,3600.0,73957,True,,,,3618.0,,,,,3607.62811952486,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,3600.0,0.0
2024-03-06 11:45:00+05:30,NSE:LT,3600.5,3605.15,3597.05,3600.35,66212,True,,,,3618.0,,,,,3607.0012517069895,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3600.35,0.0
2024-03-06 12:15:00+05:30,NSE:LT,3600.35,3602.6,3595.4,3598.05,49365,True,,,,3618.0,,,,,3606.4647075285225,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3598.05,0.0
2024-03-06 12:45:00+05:30,NSE:LT,3598.05,3598.75,3588.0,3595.1,55876,True,,,,3618.0,,,,,3605.6131520675785,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3595.1,0.0
2024-03-06 13:15:00+05:30,NSE:LT,3595.1,3597.0,3588.35,3596.7,53479,True,,,,3618.0,,,,,3604.9041037033144,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3596.7,0.0
2024-03-06 13:45:00+05:30,NSE:LT,3596.7,3620.0,3596.65,3618.5,86272,True,,,,3618.0,,,,,3605.515739240444,,,,,,,,3586.05,3634.1,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,3618.5,0.0
