Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:BAJFINANCEbar_count,NSE:BAJFINANCE_order,NSE:BAJFINANCE_position,NSE:BAJFINANCE_ret,NSE:BAJFINANCE_Close,position_change
2024-03-06 09:15:00+05:30,NSE:BAJFINANCE,6332.5,6345.9,6234.85,6259.0,475027,True,,,,6332.5,,,,,6279.916666666667,,,,,,,,6234.85,6345.9,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,1,1,1,,6259.0,
2024-03-06 09:45:00+05:30,NSE:BAJFINANCE,6258.8,6261.5,6201.0,6212.0,229604,True,,,,6332.5,,,,,6261.967763387268,,,,,,,,6201.0,6345.9,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,2,1,1,-0.007509186771049725,6212.0,0.0
2024-03-06 10:15:00+05:30,NSE:BAJFINANCE,6213.95,6256.65,6213.55,6246.0,192416,True,,,,6332.5,,,,,6256.98399320214,,,,,,,,6201.0,6345.9,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,3,1,1,0.005473277527366482,6246.0,0.0
2024-03-06 10:45:00+05:30,NSE:BAJFINANCE,6246.0,6251.0,6220.0,6231.35,93422,True,,,,6332.5,,,,,6254.827124708934,,,,,,,,6201.0,6345.9,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,4,1,1,-0.002345501120717186,6231.35,0.0
2024-03-06 11:15:00+05:30,NSE:BAJFINANCE,6231.2,6237.7,6220.8,6226.6,192102,True,,,,6332.5,,,,,6250.528772296406,,,,,,,,6201.0,6345.9,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,5,1,1,-0.0007622746274884573,6226.6,0.0
2024-03-06 11:45:00+05:30,NSE:BAJFINANCE,6225.35,6227.95,6211.7,6221.15,59804,True,,,,6332.5,,,,,6249.0720503202865,,,,,,,,6201.0,6345.9,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,6,1,1,-0.000875277037227451,6221.15,0.0
2024-03-06 12:15:00+05:30,NSE:BAJFINANCE,6221.2,6244.0,6187.8,6232.0,135036,True,,,,6332.5,,,,,6246.3461189990985,,,,,,,,6187.8,6345.9,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,7,1,1,0.0017440505372801063,6232.0,0.0
2024-03-06 12:45:00+05:30,NSE:BAJFINANCE,6233.15,6279.0,6229.9,6270.0,126752,True,,,,6332.5,,,,,6247.465798841837,,,,,,,,6187.8,6345.9,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,8,1,1,0.0060975609756097615,6270.0,0.0
2024-03-06 13:15:00+05:30,NSE:BAJFINANCE,6269.8,6272.0,6231.0,6247.5,98841,True,,,,6332.5,,,,,6247.632333970055,,,,,,,,6187.8,6345.9,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,9,1,1,-0.0035885167464114742,6247.5,0.0
2024-03-06 13:45:00+05:30,NSE:BAJFINANCE,6249.35,6293.6,6247.9,6285.55,133147,True,,,,6332.5,,,,,6249.783590636222,,,,,,,,6187.8,6345.9,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,10,1,1,0.006090436174469804,6285.55,0.0
