Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:POWERGRIDbar_count,NSE:POWERGRID_order,NSE:POWERGRID_position,NSE:POWERGRID_ret,NSE:POWERGRID_Close,position_change
2024-03-06 09:15:00+05:30,NSE:POWERGRID,290.3,294.35,289.4,290.7,2192782,True,,,,290.3,,,,,291.48333333333335,,,,,,,,289.4,294.35,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,290.7,
2024-03-06 09:45:00+05:30,NSE:POWERGRID,290.8,290.95,286.5,288.45,2616754,True,,,,290.3,,,,,289.9327162051946,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,288.45,0.0
2024-03-06 10:15:00+05:30,NSE:POWERGRID,288.45,289.95,287.9,289.55,972637,True,,,,290.3,,,,,289.79824956811217,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,289.55,0.0
2024-03-06 10:45:00+05:30,NSE:POWERGRID,289.55,290.65,287.5,287.95,826504,True,,,,290.3,,,,,289.66089867911535,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,287.95,0.0
2024-03-06 11:15:00+05:30,NSE:POWERGRID,287.95,288.45,286.85,287.0,546484,True,,,,290.3,,,,,289.490765705109,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,287.0,0.0
2024-03-06 11:45:00+05:30,NSE:POWERGRID,286.9,288.0,286.9,288.0,993436,True,,,,290.3,,,,,289.2643168838349,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,288.0,0.0
2024-03-06 12:15:00+05:30,NSE:POWERGRID,288.0,289.5,287.2,289.05,694109,True,,,,290.3,,,,,289.210863019005,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,289.05,0.0
2024-03-06 12:45:00+05:30,NSE:POWERGRID,289.05,289.7,288.6,289.35,684528,True,,,,290.3,,,,,289.21128000879725,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,289.35,0.0
2024-03-06 13:15:00+05:30,NSE:POWERGRID,289.3,290.25,289.05,290.25,525499,True,,,,290.3,,,,,289.24466861233986,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,290.25,0.0
2024-03-06 13:45:00+05:30,NSE:POWERGRID,290.2,291.85,290.15,291.6,838463,True,,,,290.3,,,,,289.39520056689213,,,,,,,,286.5,294.35,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,291.6,0.0
