Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:BIOCONbar_count,NSE:BIOCON_order,NSE:BIOCON_position,NSE:BIOCON_ret,NSE:BIOCON_Close,position_change
2024-03-06 09:15:00+05:30,NSE:BIOCON,280.0,280.85,275.55,276.15,599602,True,,,,280.0,,,,,277.5166666666667,,,,,,,,275.55,280.85,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,276.15,
2024-03-06 09:45:00+05:30,NSE:BIOCON,276.15,276.75,270.05,272.4,1085606,True,,,,280.0,,,,,274.64998985288463,,,,,,,,270.05,280.85,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,272.4,0.0
2024-03-06 10:15:00+05:30,NSE:BIOCON,272.4,274.0,270.8,272.6,1264812,True,,,,280.0,,,,,273.71389675324235,,,,,,,,270.05,280.85,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,272.6,0.0
2024-03-06 10:45:00+05:30,NSE:BIOCON,272.6,272.85,270.65,271.9,281088,True,,,,280.0,,,,,273.5473986322958,,,,,,,,270.05,280.85,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,271.9,0.0
2024-03-06 11:15:00+05:30,NSE:BIOCON,272.0,272.05,269.25,270.25,461574,True,,,,280.0,,,,,273.1685663699176,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,270.25,0.0
2024-03-06 11:45:00+05:30,NSE:BIOCON,270.1,271.3,270.0,271.3,263809,True,,,,280.0,,,,,273.0150814109439,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,271.3,0.0
2024-03-06 12:15:00+05:30,NSE:BIOCON,271.3,271.95,270.0,271.6,234567,True,,,,280.0,,,,,272.9125613190432,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,271.6,0.0
2024-03-06 12:45:00+05:30,NSE:BIOCON,271.6,272.2,271.0,272.1,241557,True,,,,280.0,,,,,272.85011536455715,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,272.1,0.0
2024-03-06 13:15:00+05:30,NSE:BIOCON,272.2,273.45,271.8,273.1,153251,True,,,,280.0,,,,,272.8478836349194,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,273.1,0.0
2024-03-06 13:45:00+05:30,NSE:BIOCON,273.05,274.95,273.05,274.55,255621,True,,,,280.0,,,,,272.91839275481544,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,274.55,0.0
2024-03-06 14:15:00+05:30,NSE:BIOCON,274.55,275.5,274.35,274.8,382895,True,,,,280.0,,,,,273.06240326607053,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22404.35,22473.45,22392.15,22464.55,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22473.45,22224.35,22473.45,22224.35,0,False,False,0,0,0,0.0,274.8,0.0
2024-03-06 14:45:00+05:30,NSE:BIOCON,274.8,274.95,273.9,274.45,409580,True,,,,280.0,,,,,273.162067682861,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22464.7,22483.05,22430.65,22473.3,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22483.05,22224.35,22483.05,22224.35,0,False,False,0,0,0,0.0,274.45,0.0
2024-03-06 15:15:00+05:30,NSE:BIOCON,274.4,275.65,274.2,274.75,427214,True,,,,280.0,,,,,273.2822140950865,,,,,,,,269.25,280.85,,,NSE:NIFTY 50,22472.5,22497.2,22466.75,22480.05,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22497.2,22224.35,22497.2,22224.35,0,False,False,0,0,0,0.0,274.75,0.0
2024-03-07 09:15:00+05:30,NSE:BIOCON,276.0,280.25,276.0,279.5,1256772,True,270.25,280.85,0.04308263695450343,276.0,274.75,269.25,280.85,280.0,278.5833333333333,274.95,280.65,269.04999999999995,286.55,263.34999999999997,298.15000000000003,251.74999999999994,276.0,280.25,,,NSE:NIFTY 50,22505.3,22523.65,22449.3,22473.35,0,True,22424.86666666667,22505.3,22480.05,22497.2,22327.5,2024-03-07,22523.65,22449.3,22523.65,22449.3,0,False,True,0,0,0,0.0,279.5,0.0
2024-03-07 09:45:00+05:30,NSE:BIOCON,279.5,280.3,277.8,278.55,554327,True,270.25,280.85,0.04308263695450343,276.0,274.75,269.25,280.85,280.0,278.6751549841652,274.95,280.65,269.04999999999995,286.55,263.34999999999997,298.15000000000003,251.74999999999994,276.0,280.3,,,NSE:NIFTY 50,22472.95,22502.6,22451.15,22486.95,0,True,22424.86666666667,22505.3,22480.05,22497.2,22327.5,2024-03-07,22523.65,22449.3,22523.65,22449.3,0,False,False,0,0,0,0.0,278.55,0.0
2024-03-07 10:15:00+05:30,NSE:BIOCON,278.55,282.7,278.0,282.1,867097,True,270.25,280.85,0.04308263695450343,276.0,274.75,269.25,280.85,280.0,279.4062664009654,274.95,280.65,269.04999999999995,286.55,263.34999999999997,298.15000000000003,251.74999999999994,276.0,282.7,,,NSE:NIFTY 50,22486.95,22495.1,22439.2,22443.8,0,True,22424.86666666667,22505.3,22480.05,22497.2,22327.5,2024-03-07,22523.65,22439.2,22523.65,22439.2,1,False,False,0,0,0,0.0,282.1,0.0
