Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:ICICIBANKbar_count,NSE:ICICIBANK_order,NSE:ICICIBANK_position,NSE:ICICIBANK_ret,NSE:ICICIBANK_Close,position_change
2024-03-06 09:15:00+05:30,NSE:ICICIBANK,1080.3,1103.1,1080.3,1102.95,2241085,True,,,,1080.3,,,,,1095.4499999999998,,,,,,,,1080.3,1103.1,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,1102.95,
2024-03-06 09:45:00+05:30,NSE:ICICIBANK,1102.95,1112.9,1098.9,1110.5,3031724,True,,,,1080.3,,,,,1102.340095823055,,,,,,,,1080.3,1112.9,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1110.5,0.0
2024-03-06 10:15:00+05:30,NSE:ICICIBANK,1110.35,1113.55,1100.25,1102.4,2341648,True,,,,1080.3,,,,,1103.2810977219606,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1102.4,0.0
2024-03-06 10:45:00+05:30,NSE:ICICIBANK,1102.5,1106.95,1100.4,1103.0,1557210,True,,,,1080.3,,,,,1103.3097747679528,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1103.0,0.0
2024-03-06 11:15:00+05:30,NSE:ICICIBANK,1102.55,1107.85,1102.05,1106.75,900746,True,,,,1080.3,,,,,1103.5101114615402,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,1106.75,0.0
2024-03-06 11:45:00+05:30,NSE:ICICIBANK,1106.6,1107.4,1103.95,1105.9,475200,True,,,,1080.3,,,,,1103.6110248182852,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1105.9,0.0
2024-03-06 12:15:00+05:30,NSE:ICICIBANK,1105.9,1109.0,1104.45,1105.5,912857,True,,,,1080.3,,,,,1103.8265364073202,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1105.5,0.0
2024-03-06 12:45:00+05:30,NSE:ICICIBANK,1105.5,1106.0,1103.45,1105.05,645292,True,,,,1080.3,,,,,1103.8802032481171,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1105.05,0.0
2024-03-06 13:15:00+05:30,NSE:ICICIBANK,1105.1,1106.1,1103.35,1105.25,2207193,True,,,,1080.3,,,,,1104.0374655501491,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1105.25,0.0
2024-03-06 13:45:00+05:30,NSE:ICICIBANK,1105.2,1107.3,1102.3,1104.6,769034,True,,,,1080.3,,,,,1104.0729480044045,,,,,,,,1080.3,1113.55,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1104.6,0.0
