Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:LUPINbar_count,NSE:LUPIN_order,NSE:LUPIN_position,NSE:LUPIN_ret,NSE:LUPIN_Close,position_change
2024-03-06 09:15:00+05:30,NSE:LUPIN,1675.0,1681.75,1668.6,1680.5,65606,True,,,,1675.0,,,,,1676.95,,,,,,,,1668.6,1681.75,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,1680.5,
2024-03-06 09:45:00+05:30,NSE:LUPIN,1680.5,1681.5,1652.55,1663.45,157161,True,,,,1675.0,,,,,1669.1072474827959,,,,,,,,1652.55,1681.75,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1663.45,0.0
2024-03-06 10:15:00+05:30,NSE:LUPIN,1663.45,1665.0,1657.5,1663.75,35269,True,,,,1675.0,,,,,1668.147201488681,,,,,,,,1652.55,1681.75,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1663.75,0.0
2024-03-06 10:45:00+05:30,NSE:LUPIN,1663.75,1665.45,1653.1,1656.25,56622,True,,,,1675.0,,,,,1666.3692214510145,,,,,,,,1652.55,1681.75,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,1656.25,0.0
2024-03-06 11:15:00+05:30,NSE:LUPIN,1656.25,1658.3,1649.95,1653.3,30538,True,,,,1675.0,,,,,1665.261699971417,,,,,,,,1649.95,1681.75,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,1653.3,0.0
2024-03-06 11:45:00+05:30,NSE:LUPIN,1653.3,1659.95,1648.45,1650.95,48522,True,,,,1675.0,,,,,1663.764940092486,,,,,,,,1648.45,1681.75,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1650.95,0.0
2024-03-06 12:15:00+05:30,NSE:LUPIN,1651.15,1657.6,1643.3,1657.45,78529,True,,,,1675.0,,,,,1661.9388308801679,,,,,,,,1643.3,1681.75,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1657.45,0.0
2024-03-06 12:45:00+05:30,NSE:LUPIN,1657.5,1660.05,1655.95,1660.0,63901,True,,,,1675.0,,,,,1661.5488367639782,,,,,,,,1643.3,1681.75,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1660.0,0.0
2024-03-06 13:15:00+05:30,NSE:LUPIN,1660.0,1666.0,1658.15,1666.0,64851,True,,,,1675.0,,,,,1661.746788735644,,,,,,,,1643.3,1681.75,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1666.0,0.0
2024-03-06 13:45:00+05:30,NSE:LUPIN,1666.0,1674.35,1663.75,1667.4,76905,True,,,,1675.0,,,,,1662.5129085878432,,,,,,,,1643.3,1681.75,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,1667.4,0.0
