Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:DLFbar_count,NSE:DLF_order,NSE:DLF_position,NSE:DLF_ret,NSE:DLF_Close,position_change
2024-03-06 09:15:00+05:30,NSE:DLF,930.95,933.9,925.0,929.0,441273,True,,,,930.95,,,,,929.3000000000001,,,,,,,,925.0,933.9,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,929.0,
2024-03-06 09:45:00+05:30,NSE:DLF,929.0,929.65,912.3,918.35,554801,True,,,,930.95,,,,,924.1757128486438,,,,,,,,912.3,933.9,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,918.35,0.0
2024-03-06 10:15:00+05:30,NSE:DLF,918.35,922.55,915.2,920.65,196813,True,,,,930.95,,,,,923.3987729488766,,,,,,,,912.3,933.9,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,920.65,0.0
2024-03-06 10:45:00+05:30,NSE:DLF,921.1,923.85,918.2,921.6,97020,True,,,,930.95,,,,,923.2346464254141,,,,,,,,912.3,933.9,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,921.6,0.0
2024-03-06 11:15:00+05:30,NSE:DLF,921.6,921.85,913.95,915.65,154156,True,,,,930.95,,,,,922.585100834705,,,,,,,,912.3,933.9,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,915.65,0.0
2024-03-06 11:45:00+05:30,NSE:DLF,915.65,917.7,908.1,913.3,258223,True,,,,930.95,,,,,921.136175061065,,,,,,,,908.1,933.9,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,913.3,0.0
2024-03-06 12:15:00+05:30,NSE:DLF,913.3,916.0,909.35,914.8,356317,True,,,,930.95,,,,,919.7942605171241,,,,,,,,908.1,933.9,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,914.8,0.0
2024-03-06 12:45:00+05:30,NSE:DLF,914.8,918.1,911.5,917.8,125043,True,,,,930.95,,,,,919.5655355691048,,,,,,,,908.1,933.9,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,917.8,0.0
2024-03-06 13:15:00+05:30,NSE:DLF,917.8,918.7,914.0,918.1,76797,True,,,,930.95,,,,,919.4761083041392,,,,,,,,908.1,933.9,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,918.1,0.0
2024-03-06 13:45:00+05:30,NSE:DLF,918.05,922.3,918.0,919.65,179432,True,,,,930.95,,,,,919.5134103796302,,,,,,,,908.1,933.9,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,919.65,0.0
