Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:SHREECEMbar_count,NSE:SHREECEM_order,NSE:SHREECEM_position,NSE:SHREECEM_ret,NSE:SHREECEM_Close,position_change
2024-03-06 09:15:00+05:30,NSE:SHREECEM,25009.75,25127.3,24901.0,24990.25,2390,True,,,,25009.75,,,,,25006.183333333334,,,,,,,,24901.0,25127.3,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,24990.25,
2024-03-06 09:45:00+05:30,NSE:SHREECEM,24990.25,25098.85,24857.0,24941.2,2299,True,,,,25009.75,,,,,24986.326327575178,,,,,,,,24857.0,25127.3,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,24941.2,0.0
2024-03-06 10:15:00+05:30,NSE:SHREECEM,24941.2,24961.95,24908.7,24952.9,644,True,,,,25009.75,,,,,24980.874970310644,,,,,,,,24857.0,25127.3,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,24952.9,0.0
2024-03-06 10:45:00+05:30,NSE:SHREECEM,24952.9,24952.9,24720.0,24732.1,1150,True,,,,25009.75,,,,,24949.085744768367,,,,,,,,24720.0,25127.3,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,24732.1,0.0
2024-03-06 11:15:00+05:30,NSE:SHREECEM,24732.1,24732.1,24606.0,24650.0,2629,True,,,,25009.75,,,,,24866.45754865379,,,,,,,,24606.0,25127.3,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,24650.0,0.0
2024-03-06 11:45:00+05:30,NSE:SHREECEM,24645.4,24670.0,24523.1,24648.35,1363,True,,,,25009.75,,,,,24833.584085918854,,,,,,,,24523.1,25127.3,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,24648.35,0.0
2024-03-06 12:15:00+05:30,NSE:SHREECEM,24640.15,24640.15,24560.0,24560.0,829,True,,,,25009.75,,,,,24815.47960161595,,,,,,,,24523.1,25127.3,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,24560.0,0.0
2024-03-06 12:45:00+05:30,NSE:SHREECEM,24561.7,24566.4,24500.0,24514.55,3185,True,,,,25009.75,,,,,24752.06179400465,,,,,,,,24500.0,25127.3,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,24514.55,0.0
2024-03-06 13:15:00+05:30,NSE:SHREECEM,24505.6,24512.05,24458.0,24474.95,1248,True,,,,25009.75,,,,,24730.618499925866,,,,,,,,24458.0,25127.3,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,24474.95,0.0
2024-03-06 13:45:00+05:30,NSE:SHREECEM,24474.95,24596.0,24468.55,24545.1,3177,True,,,,25009.75,,,,,24698.020655775264,,,,,,,,24458.0,25127.3,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,24545.1,0.0
