Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:BHELbar_count,NSE:BHEL_order,NSE:BHEL_position,NSE:BHEL_ret,NSE:BHEL_Close,position_change
2024-03-06 09:15:00+05:30,NSE:BHEL,270.7,272.0,262.6,263.6,17484433,True,,,,270.7,,,,,266.06666666666666,,,,,,,,262.6,272.0,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,263.6,
2024-03-06 09:45:00+05:30,NSE:BHEL,263.7,263.7,252.65,253.0,14839237,True,,,,270.7,,,,,261.65182157585036,,,,,,,,252.65,272.0,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,253.0,0.0
2024-03-06 10:15:00+05:30,NSE:BHEL,253.0,255.65,251.15,252.35,8144816,True,,,,270.7,,,,,259.9205916504182,,,,,,,,251.15,272.0,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,252.35,0.0
2024-03-06 10:45:00+05:30,NSE:BHEL,252.3,253.95,250.2,250.95,6511946,True,,,,270.7,,,,,258.7811374854251,,,,,,,,250.2,272.0,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,250.95,0.0
2024-03-06 11:15:00+05:30,NSE:BHEL,250.9,253.8,249.6,251.75,5080110,True,,,,270.7,,,,,258.0917806813588,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,251.75,0.0
2024-03-06 11:45:00+05:30,NSE:BHEL,251.7,252.95,250.85,252.2,2631286,True,,,,270.7,,,,,257.79869818973077,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,252.2,0.0
2024-03-06 12:15:00+05:30,NSE:BHEL,252.25,253.2,251.0,252.6,2640083,True,,,,270.7,,,,,257.543953107546,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,252.6,0.0
2024-03-06 12:45:00+05:30,NSE:BHEL,252.55,253.0,250.7,251.75,2325103,True,,,,270.7,,,,,257.32073491419914,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,251.75,0.0
2024-03-06 13:15:00+05:30,NSE:BHEL,251.75,252.35,250.7,251.9,1981379,True,,,,270.7,,,,,257.13844795753624,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,251.9,0.0
2024-03-06 13:45:00+05:30,NSE:BHEL,251.9,252.8,251.65,252.55,2426481,True,,,,270.7,,,,,256.9564524487579,,,,,,,,249.6,272.0,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,252.55,0.0
