Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:INDUSTOWERbar_count,NSE:INDUSTOWER_order,NSE:INDUSTOWER_position,NSE:INDUSTOWER_ret,NSE:INDUSTOWER_Close,position_change
2024-03-06 09:15:00+05:30,NSE:INDUSTOWER,260.55,261.0,254.0,258.1,3327745,True,,,,260.55,,,,,257.7,,,,,,,,254.0,261.0,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,258.1,
2024-03-06 09:45:00+05:30,NSE:INDUSTOWER,258.25,258.25,249.5,250.75,4058584,True,,,,260.55,,,,,255.02590093581446,,,,,,,,249.5,261.0,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,250.75,0.0
2024-03-06 10:15:00+05:30,NSE:INDUSTOWER,250.75,253.9,248.95,253.6,2930674,True,,,,260.55,,,,,254.2089652327651,,,,,,,,248.95,261.0,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,253.6,0.0
2024-03-06 10:45:00+05:30,NSE:INDUSTOWER,253.65,253.95,247.65,249.05,2206419,True,,,,260.55,,,,,253.50558851912305,,,,,,,,247.65,261.0,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,249.05,0.0
2024-03-06 11:15:00+05:30,NSE:INDUSTOWER,248.95,250.0,247.1,247.5,1844691,True,,,,260.55,,,,,252.82441546661929,,,,,,,,247.1,261.0,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,247.5,0.0
2024-03-06 11:45:00+05:30,NSE:INDUSTOWER,247.55,248.95,246.0,248.8,2021660,True,,,,260.55,,,,,252.21905019164493,,,,,,,,246.0,261.0,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,248.8,0.0
2024-03-06 12:15:00+05:30,NSE:INDUSTOWER,248.8,251.1,247.5,250.25,2066510,True,,,,260.55,,,,,251.92766694951524,,,,,,,,246.0,261.0,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,250.25,0.0
2024-03-06 12:45:00+05:30,NSE:INDUSTOWER,250.1,252.4,250.05,251.9,1194675,True,,,,260.55,,,,,251.89862730865335,,,,,,,,246.0,261.0,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,251.9,0.0
2024-03-06 13:15:00+05:30,NSE:INDUSTOWER,251.95,254.15,251.45,252.2,1040629,True,,,,260.55,,,,,251.93390100527333,,,,,,,,246.0,261.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,252.2,0.0
2024-03-06 13:45:00+05:30,NSE:INDUSTOWER,252.2,253.5,251.8,253.05,930453,True,,,,260.55,,,,,251.97045430264674,,,,,,,,246.0,261.0,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,253.05,0.0
