Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:IGLbar_count,NSE:IGL_order,NSE:IGL_position,NSE:IGL_ret,NSE:IGL_Close,position_change
2024-03-06 09:15:00+05:30,NSE:IGL,458.4,458.4,430.8,431.45,2809908,True,,,,458.4,,,,,440.2166666666667,,,,,,,,430.8,458.4,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,431.45,
2024-03-06 09:45:00+05:30,NSE:IGL,431.45,435.95,427.2,429.65,1616141,True,,,,458.4,,,,,436.8269220848361,,,,,,,,427.2,458.4,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,429.65,0.0
2024-03-06 10:15:00+05:30,NSE:IGL,429.65,434.6,428.45,433.9,776571,True,,,,458.4,,,,,436.15369714041515,,,,,,,,427.2,458.4,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,433.9,0.0
2024-03-06 10:45:00+05:30,NSE:IGL,433.9,434.65,424.3,429.45,801041,True,,,,458.4,,,,,435.2614772802795,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,429.45,0.0
2024-03-06 11:15:00+05:30,NSE:IGL,429.45,430.35,426.75,428.95,439167,True,,,,458.4,,,,,434.8130866445604,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,428.95,0.0
2024-03-06 11:45:00+05:30,NSE:IGL,429.0,430.3,426.5,428.65,376918,True,,,,458.4,,,,,434.4632498678592,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,428.65,0.0
2024-03-06 12:15:00+05:30,NSE:IGL,428.6,431.7,427.8,431.0,476377,True,,,,458.4,,,,,434.18271821897736,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,431.0,0.0
2024-03-06 12:45:00+05:30,NSE:IGL,430.9,431.85,427.95,428.95,486799,True,,,,458.4,,,,,433.8950401511583,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,428.95,0.0
2024-03-06 13:15:00+05:30,NSE:IGL,428.65,429.7,426.2,427.4,767615,True,,,,458.4,,,,,433.34487220120405,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,427.4,0.0
2024-03-06 13:45:00+05:30,NSE:IGL,427.15,429.95,427.1,429.55,350611,True,,,,458.4,,,,,433.168478311262,,,,,,,,424.3,458.4,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,429.55,0.0
