Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:ABBOTINDIAbar_count,NSE:ABBOTINDIA_order,NSE:ABBOTINDIA_position,NSE:ABBOTINDIA_ret,NSE:ABBOTINDIA_Close,position_change
2024-03-06 09:15:00+05:30,NSE:ABBOTINDIA,27255.0,27370.45,27200.0,27264.1,838,True,,,,27255.0,,,,,27278.183333333334,,,,,,,,27200.0,27370.45,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,27264.1,
2024-03-06 09:45:00+05:30,NSE:ABBOTINDIA,27300.0,27300.0,27110.95,27232.2,411,True,,,,27255.0,,,,,27257.189097945018,,,,,,,,27110.95,27370.45,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,27232.2,0.0
2024-03-06 10:15:00+05:30,NSE:ABBOTINDIA,27232.2,27232.2,27024.05,27151.2,788,True,,,,27255.0,,,,,27210.23697430862,,,,,,,,27024.05,27370.45,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,27151.2,0.0
2024-03-06 10:45:00+05:30,NSE:ABBOTINDIA,27151.2,27151.2,27032.1,27093.15,274,True,,,,27255.0,,,,,27196.23618202798,,,,,,,,27024.05,27370.45,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,27093.15,0.0
2024-03-06 11:15:00+05:30,NSE:ABBOTINDIA,27093.15,27109.75,27010.0,27085.0,408,True,,,,27255.0,,,,,27177.031194066443,,,,,,,,27010.0,27370.45,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,27085.0,0.0
2024-03-06 11:45:00+05:30,NSE:ABBOTINDIA,27085.0,27259.85,27071.1,27252.85,1670,True,,,,27255.0,,,,,27183.716066681856,,,,,,,,27010.0,27370.45,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,27252.85,0.0
2024-03-06 12:15:00+05:30,NSE:ABBOTINDIA,27252.85,27425.6,27220.0,27343.85,493,True,,,,27255.0,,,,,27198.469773316945,,,,,,,,27010.0,27425.6,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,27343.85,0.0
2024-03-06 12:45:00+05:30,NSE:ABBOTINDIA,27343.85,27370.6,27285.35,27339.45,658,True,,,,27255.0,,,,,27214.305746089045,,,,,,,,27010.0,27425.6,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,27339.45,0.0
2024-03-06 13:15:00+05:30,NSE:ABBOTINDIA,27339.45,27442.8,27288.15,27400.0,547,True,,,,27255.0,,,,,27228.92454684847,,,,,,,,27010.0,27442.8,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,27400.0,0.0
2024-03-06 13:45:00+05:30,NSE:ABBOTINDIA,27400.0,27519.95,27296.05,27331.95,1184,True,,,,27255.0,,,,,27253.956995828175,,,,,,,,27010.0,27519.95,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,27331.95,0.0
