Timestamp,Symbol,Open,High,Low,Close,Volume,IsComplete,x_day_low,x_day_high,5drng,todayo,prevdayc,prevdayl,prevdayh,prevdayo,vwap,Pivot,R1,S1,R2,S2,R3,S3,todayl,todayh,daily_RSI,zc_ROC,indSymbol,indOpen,indHigh,indLow,indClose,indVolume,IsComplete,ind20DMA,indtodayo,indprevdayc,indprevdayh,indprevdayo,near_Exp,ind_todayh,ind_todayl,indexpiry_high,indexpiry_low,S1_reclaim,signal,date_changed,NSE:JSWSTEELbar_count,NSE:JSWSTEEL_order,NSE:JSWSTEEL_position,NSE:JSWSTEEL_ret,NSE:JSWSTEEL_Close,position_change
2024-03-06 09:15:00+05:30,NSE:JSWSTEEL,820.4,823.0,811.1,813.65,215238,True,,,,820.4,,,,,815.9166666666666,,,,,,,,811.1,823.0,,,NSE:NIFTY 50,22327.5,22365.85,22289.4,22363.9,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22365.85,22289.4,22440.9,22269.15,0,False,True,0,0,0,0.0,813.65,
2024-03-06 09:45:00+05:30,NSE:JSWSTEEL,814.7,814.7,802.8,806.3,210673,True,,,,820.4,,,,,811.9677834884127,,,,,,,,802.8,823.0,,,NSE:NIFTY 50,22365.05,22369.45,22250.2,22315.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,806.3,0.0
2024-03-06 10:15:00+05:30,NSE:JSWSTEEL,806.7,808.5,802.55,805.25,155889,True,,,,820.4,,,,,810.2169259768535,,,,,,,,802.55,823.0,,,NSE:NIFTY 50,22315.45,22352.8,22274.55,22311.1,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,805.25,0.0
2024-03-06 10:45:00+05:30,NSE:JSWSTEEL,805.25,806.3,802.0,805.5,122961,True,,,,820.4,,,,,809.2369301555184,,,,,,,,802.0,823.0,,,NSE:NIFTY 50,22311.7,22311.7,22262.7,22273.25,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22250.2,22440.9,22250.2,0,False,False,0,0,0,0.0,805.5,0.0
2024-03-06 11:15:00+05:30,NSE:JSWSTEEL,805.05,805.75,800.0,801.9,151212,True,,,,820.4,,,,,808.0556498082689,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22273.3,22302.2,22226.15,22247.65,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22226.15,22440.9,22226.15,0,False,False,0,0,0,0.0,801.9,0.0
2024-03-06 11:45:00+05:30,NSE:JSWSTEEL,801.5,804.0,800.35,803.3,109594,True,,,,820.4,,,,,807.4307463214188,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22247.3,22266.75,22224.35,22259.2,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,803.3,0.0
2024-03-06 12:15:00+05:30,NSE:JSWSTEEL,803.45,804.1,801.0,802.3,114949,True,,,,820.4,,,,,806.9026504929127,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22260.05,22301.25,22236.35,22280.4,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,802.3,0.0
2024-03-06 12:45:00+05:30,NSE:JSWSTEEL,802.15,803.3,801.25,802.8,89196,True,,,,820.4,,,,,806.5631151086764,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22280.15,22300.1,22262.65,22298.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,802.8,0.0
2024-03-06 13:15:00+05:30,NSE:JSWSTEEL,802.85,804.5,800.0,803.5,160740,True,,,,820.4,,,,,806.0923614681326,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22297.85,22338.05,22273.35,22327.0,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22369.45,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,803.5,0.0
2024-03-06 13:45:00+05:30,NSE:JSWSTEEL,803.5,807.45,802.35,806.2,171872,True,,,,820.4,,,,,806.005525550192,,,,,,,,800.0,823.0,,,NSE:NIFTY 50,22327.75,22412.75,22327.4,22403.45,0,True,,22327.5,22358.5,22416.9,22371.25,2024-02-29,22412.75,22224.35,22440.9,22224.35,0,False,False,0,0,0,0.0,806.2,0.0
