,Symbol,Side,Trade ID,Start Time,End Time,Entry Price,Exit Price
0,NSE:ADANIENT,long,134,2024-03-21 11:15:00+05:30,2024-03-26 10:15:00+05:30,3093.4,3134.0
1,NSE:ADANIENT,long,161,2024-03-28 10:45:00+05:30,2024-03-28 14:45:00+05:30,3154.55,3181.25
